Date,USD_JPY,CPI,change_USD_JPY,change_CPI
1-Feb,103.87,4.026556,-0.023411057,-0.059280507
1-Mar,99.83,3.981456,-0.038894772,-0.011200639
1-Apr,103.94,3.93689,0.041169989,-0.011193393
1-May,105.52,4.175543,0.015201078,0.060619677
1-Jun,106.11,5.02179,0.005591357,0.202667533
1-Jul,107.83,5.600123,0.016209594,0.115164712
1-Aug,108.81,5.371855,0.00908838,-0.040761248
1-Sep,106.03,4.936927,-0.025549122,-0.080964211
1-Oct,98.47,3.655186,-0.071300575,-0.259623243
1-Nov,95.5,1.069575,-0.03016147,-0.707381512
1-Dec,90.61,0.0914129,-0.051204188,-0.914533436
1-Jan,89.99,0.0298465,-0.006842512,-0.673497942
1-Feb,97.55,0.2361911,0.084009334,6.913527549
1-Mar,98.86,-0.3835562,0.013429011,-2.623923171
1-Apr,98.56,-0.7368857,-0.003034594,0.921193557
1-May,95.32,-1.281436,-0.032873377,0.738988828
1-Jun,96.33,-1.426776,0.010595888,0.113419632
1-Jul,94.68,-2.097161,-0.01712862,0.46986002
1-Aug,93.03,-1.484349,-0.017427123,-0.292210279
1-Sep,89.77,-1.286206,-0.035042459,-0.133488149
1-Oct,90.1,-0.1828483,0.003676061,-0.857839024
1-Nov,86.36,1.838296,-0.041509434,-11.05366744
1-Dec,92.92,2.721331,0.075961093,0.480355177
1-Jan,90.31,2.625709,-0.028088678,-0.035137953
1-Feb,88.87,2.143332,-0.015945078,-0.183713047
1-Mar,93.47,2.313959,0.051760999,0.079608292
1-Apr,93.83,2.236447,0.003851503,-0.033497568
1-May,91.25,2.020986,-0.027496536,-0.096340758
1-Jun,88.41,1.053349,-0.031123288,-0.478794509
1-Jul,86.47,1.235193,-0.021943219,0.172634141
1-Aug,84.17,1.148105,-0.02659882,-0.070505581
1-Sep,83.47,1.143683,-0.008316502,-0.003851564
1-Oct,80.39,1.172188,-0.036899485,0.024923864
1-Nov,83.69,1.143161,0.041049882,-0.024763093
1-Dec,81.17,1.495723,-0.030111124,0.308409752
1-Jan,82.08,1.631847,0.011211039,0.09100883
1-Feb,81.78,2.107585,-0.003654971,0.291533459
1-Mar,83.16,2.681603,0.016874541,0.272358173
1-Apr,81.23,3.163631,-0.023208273,0.179753677
1-May,81.54,3.568646,0.003816324,0.1280222
1-Jun,80.53,3.558828,-0.012386559,-0.002751184
1-Jul,76.75,3.628716,-0.046939029,0.019637926
1-Aug,76.61,3.771208,-0.001824104,0.039267884
1-Sep,77.06,3.868357,0.005873907,0.025760711
1-Oct,78.2,3.5252,0.014793667,-0.088708721
1-Nov,77.5,3.394378,-0.008951407,-0.037110519
1-Dec,76.96,2.962419,-0.006967742,-0.127257188
1-Jan,76.23,2.925217,-0.009485447,-0.01255798
1-Feb,81.22,2.871099,0.065459793,-0.018500508
1-Mar,82.81,2.651398,0.019576459,-0.076521569
1-Apr,79.8,2.30274,-0.036348267,-0.131499684
1-May,78.36,1.704254,-0.018045113,-0.259901682
1-Jun,79.81,1.663994,0.018504339,-0.023623239
1-Jul,78.13,1.408451,-0.021049994,-0.153572068
1-Aug,78.39,1.692379,0.003327787,0.201588838
1-Sep,77.92,1.991282,-0.005995663,0.176617058
1-Oct,79.77,2.162344,0.0237423,0.085905462
1-Nov,82.48,1.764134,0.033972671,-0.184156637
1-Dec,86.75,1.741022,0.051770126,-0.013101046
1-Jan,91.72,1.594865,0.057291066,-0.083948968
1-Feb,92.56,1.977924,0.009158308,0.240182711
1-Mar,94.22,1.473896,0.017934313,-0.254826778
1-Apr,97.42,1.063085,0.033963065,-0.27872455
1-May,100.48,1.361965,0.031410388,0.281144029
1-Jun,99.14,1.754417,-0.013335987,0.288151311
1-Jul,97.88,1.960682,-0.0127093,0.11756897
1-Aug,98.17,1.518368,0.002962812,-0.225591911
1-Sep,98.23,1.184925,0.000611185,-0.219606182
1-Oct,98.36,0.9636127,0.001323425,-0.186773256
1-Nov,102.44,1.237072,0.041480277,0.283785488
1-Dec,105.31,1.501736,0.0280164,0.213943893
1-Jan,102.03,1.578947,-0.03114614,0.051414496
1-Feb,101.81,1.126349,-0.002156229,-0.286645467
1-Mar,103.22,1.512203,0.013849327,0.342570553
1-Apr,102.26,1.952858,-0.009300523,0.291399369
1-May,101.78,2.127111,-0.004693917,0.089229734
1-Jun,101.33,2.072341,-0.004421301,-0.025748539
1-Jul,102.8,1.992329,0.014507056,-0.038609476
1-Aug,104.08,1.699611,0.012451362,-0.146922521
1-Sep,109.66,1.657919,0.053612606,-0.024530319
1-Oct,112.33,1.66434,0.024347985,0.003872927
1-Nov,118.64,1.322355,0.056173774,-0.205477847
1-Dec,119.69,0.7564933,0.008850303,-0.427919658
1-Jan,117.45,-0.08934832,-0.018715014,-1.118108541
1-Feb,119.54,-0.0251298,0.017794806,-0.718743453
1-Mar,120.14,-0.07363739,0.00501924,1.930281578
1-Apr,119.36,-0.1995174,-0.006492426,1.70945779
1-May,124.14,-0.03993275,0.040046917,-0.799853296
1-Jun,122.5,0.1237712,-0.013210891,-4.099491019
1-Jul,123.94,0.1695698,0.011755102,0.370026307
1-Aug,121.22,0.1950793,-0.021946103,0.150436575
1-Sep,119.86,-0.03612975,-0.011219271,-1.185205452
1-Oct,120.62,0.1705744,0.006340731,-5.721161923
1-Nov,123.1,0.5017976,0.020560438,1.941810729
1-Dec,120.32,0.7295198,-0.022583266,0.453812852
1-Jan,121.06,1.373087,0.006150266,0.882179209
1-Feb,112.69,1.0178,-0.06913927,-0.258750538
1-Mar,112.58,0.8525362,-0.000976129,-0.162373551
1-Apr,106.36,1.12511,-0.0552496,0.319721086
1-May,110.71,1.019323,0.040898834,-0.094023695
1-Jun,103.29,0.9973265,-0.067021949,-0.021579519
1-Jul,102.06,0.8271388,-0.01190822,-0.170643917
1-Aug,103.42,1.062875,0.013325495,0.285001985
1-Sep,101.34,1.463784,-0.020112164,0.377192991
1-Oct,104.82,1.635988,0.034339846,0.11764304
1-Nov,114.47,1.692537,0.092062583,0.034565657
1-Dec,116.89,2.074622,0.02114091,0.225746911
1-Jan,112.8,2.500042,-0.034990162,0.205059042
1-Feb,112.78,2.737958,-0.000177305,0.095164801
1-Mar,111.39,2.380612,-0.01232488,-0.130515516
1-Apr,111.55,2.19969,0.001436395,-0.075998105
1-May,110.78,1.874878,-0.006902734,-0.147662625
1-Jun,112.38,1.633488,0.01444304,-0.128749711
1-Jul,110.25,1.727978,-0.01895355,0.057845543
1-Aug,109.97,1.938974,-0.002539683,0.122105721
1-Sep,112.49,2.232964,0.022915341,0.151621425
1-Oct,113.64,2.041129,0.010223131,-0.085910476
1-Nov,112.53,2.202583,-0.009767687,0.079100341
1-Dec,112.69,2.109082,0.001421843,-0.042450614
